Actual_ArrDelay,Actual_DepDelay,Actual_ReasonForDelay,Predicted_ArrDelay,Predicted_DepDelay,Predicted_ReasonForDelay
SeriousArrDelay,MediumDepDelay,CarrierDelay,SeriousArrDelay,MediumDepDelay,CarrierDelay
In Time,In Time,In Time or bit late,SlightArrDelay,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
SlightArrDelay,SlightDepDelay,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
Cancel,Cancel,Cancelled,In Time,In Time,In Time or bit late
In Time,SlightDepDelay,In Time or bit late,SlightArrDelay,SlightDepDelay,In Time or bit late
SlightArrDelay,In Time,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
SlightArrDelay,SlightDepDelay,In Time or bit late,In Time,In Time,In Time or bit late
In Time,SlightDepDelay,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
MediumArrDelay,In Time,NASDelay,MediumArrDelay,In Time,NASDelay
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
SlightArrDelay,In Time,NASDelay,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
MediumArrDelay,MediumDepDelay,CarrierDelay,In Time,In Time,In Time or bit late
SlightArrDelay,In Time,NASDelay,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
SlightArrDelay,In Time,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
SlightArrDelay,In Time,In Time or bit late,In Time,In Time,In Time or bit late
SlightArrDelay,SlightDepDelay,NASDelay,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
SlightArrDelay,SlightDepDelay,In Time or bit late,SlightArrDelay,SlightDepDelay,In Time or bit late
In Time,MediumDepDelay,In Time or bit late,In Time,In Time,In Time or bit late
In Time,In Time,In Time or bit late,SlightArrDelay,In Time,In Time or bit late
In Time,In Time,In Time or bit late,In Time,In Time,In Time or bit late
SeriousArrDelay,SeriousDepDelay,SecurityDelay,In Time,In Time,In Time or bit late
MediumArrDelay,MediumDepDelay,CarrierDelay,SeriousArrDelay,SlightDepDelay,In Time or bit late
SlightArrDelay,SlightDepDelay,In Time or bit late,In Time,SlightDepDelay,In Time or bit late
SlightArrDelay,In Time,In Time or bit late,In Time,In Time,In Time or bit late
SlightArrDelay,SlightDepDelay,NASDelay,In Time,In Time,In Time or bit late
