Month,DayofMonth,DepTime,ArrTime,UniqueCarrier,TailNum,Origin,Dest,Price,FuturePrice
1,9,11.0,13.0,DL,N663DN,LGA,ATL,7202.0,6435.0
1,27,17.0,18.0,DL,N955DL,ATL,JAN,4878.0,5469.0
1,15,13.0,16.0,NW,N509US,EGE,MSP,6961.0,8364.0
1,9,6.0,8.0,DL,N311DL,RIC,CVG,6442.0,8340.0
1,1,9.0,13.0,XE,N23139,TUL,EWR,8907.0,6696.0
1,18,11.0,14.0,TZ,N324TZ,IND,MIA,13555.0,14123.0
1,18,17.0,18.0,MQ,N625MQ,MAF,DFW,12392.0,13689.0
1,24,10.0,11.0,AA,N210AA,DFW,LAX,5894.0,5599.0
1,12,7.0,10.0,TZ,N303TZ,MDW,LGA,4668.0,5766.0
1,27,18.0,22.0,B6,N524JB,JFK,RSW,8016.0,8771.0
1,27,13.0,16.0,WN,N519,OAK,BOI,9646.0,10268.0
1,12,16.0,17.0,WN,N102,IAH,DAL,13817.0,17779.0
1,12,8.0,10.0,DH,N421FJ,BOS,PHL,11087.0,13719.0
1,21,18.0,20.0,WN,N761,SAN,PHX,9270.0,8840.0
1,21,13.0,20.0,UA,N467UA,LAS,IAD,9486.0,10055.0
1,24,8.0,8.0,OO,N564SW,PDX,RDM,4812.0,5446.0
1,15,13.0,15.0,AA,N510AA,DFW,ORD,6961.0,5046.0
1,15,10.0,16.0,UA,N522UA,LAS,ORD,6979.0,6183.0
1,15,11.0,14.0,OO,N939SW,BUR,DEN,10262.0,12498.0
1,27,14.0,15.0,OH,N960CA,GSO,CVG,12898.0,11290.0
1,27,18.0,19.0,OO,N235SW,SFO,MFR,8016.0,7253.0
1,9,10.0,12.0,DL,N918DL,ATL,DFW,14323.0,12498.0
1,3,14.0,16.0,WN,N366,SEA,RNO,3597.0,3259.0
1,1,6.0,8.0,AA,N497AA,TPA,DFW,6121.0,7521.0
1,15,14.0,15.0,EV,N642AS,ATL,CSG,10919.0,9615.0
1,27,10.0,11.0,NW,N9333,DTW,GSO,5894.0,5003.0
1,18,20.0,22.0,US,N187UW,PHL,LAX,4174.0,5005.0
1,6,17.0,18.0,HP,N336AW,LAS,SNA,12677.0,14298.0
1,1,19.0,20.0,OO,N956SW,SAN,LAX,10651.0,10567.0
1,24,9.0,11.0,WN,N384,STL,BHM,3873.0,3394.0
1,24,15.0,17.0,XE,N18982,ATL,CLE,6147.0,6398.0
1,12,6.0,8.0,CO,N14358,RDU,IAH,9899.0,11543.0
1,24,7.0,9.0,XE,N12957,IAH,STL,3687.0,2589.0
1,27,5.0,8.0,OH,N936CA,ROC,ATL,7165.0,6672.0
1,1,8.0,10.0,EV,N849AS,JFK,ATL,22270.0,21087.0
1,3,7.0,9.0,WN,N727,TPA,BWI,14924.0,17960.0
1,3,14.0,21.0,HA,N593HA,HNL,LAX,3597.0,4568.0
1,24,15.0,17.0,FL,N954AT,LGA,PHF,6147.0,4863.0
1,6,13.0,14.0,HP,N669AW,SAN,LAS,3625.0,4592.0
1,3,14.0,15.0,EV,N823AS,ATL,XNA,3597.0,3944.0
1,24,14.0,14.0,NW,N982US,MSP,RAP,10262.0,10936.0
1,9,18.0,19.0,HP,N812AW,LAX,LAS,8016.0,6283.0
1,27,18.0,20.0,DL,N904DE,ATL,MSP,8016.0,7992.0
1,3,14.0,17.0,DL,N931DL,IAH,ATL,3597.0,4001.0
1,6,16.0,18.0,TZ,N320TZ,IND,PIE,11432.0,13531.0
1,18,11.0,13.0,EV,N884AS,MLU,ATL,13555.0,12943.0
1,18,6.0,9.0,OH,N331CA,ABE,ATL,6347.0,7204.0
1,9,18.0,19.0,WN,N82,HOU,DAL,8016.0,9082.0
1,6,13.0,14.0,DH,N414FJ,CVG,DAY,3625.0,3735.0
1,18,8.0,9.0,DH,N679BR,ICT,ORD,10844.0,10179.0
