Month,DayofMonth,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,TailNum,Origin,Dest,Price
1,9,11.0,11,13.0,13,DL,N663DN,LGA,ATL,7202.0
1,27,17.0,17,18.0,17,DL,N955DL,ATL,JAN,4878.0
1,15,13.0,13,16.0,17,NW,N509US,EGE,MSP,6961.0
1,9,6.0,6,8.0,7,DL,N311DL,RIC,CVG,6442.0
1,1,9.0,9,13.0,13,XE,N23139,TUL,EWR,8907.0
1,18,11.0,12,14.0,14,TZ,N324TZ,IND,MIA,13555.0
1,18,17.0,17,18.0,19,MQ,N625MQ,MAF,DFW,12392.0
1,24,10.0,9,11.0,11,AA,N210AA,DFW,LAX,5894.0
1,12,7.0,7,10.0,10,TZ,N303TZ,MDW,LGA,4668.0
1,27,18.0,18,22.0,21,B6,N524JB,JFK,RSW,8016.0
1,27,13.0,13,16.0,16,WN,N519,OAK,BOI,9646.0
1,12,16.0,15,17.0,15,WN,N102,IAH,DAL,13817.0
1,12,8.0,8,10.0,10,DH,N421FJ,BOS,PHL,11087.0
1,21,18.0,18,20.0,20,WN,N761,SAN,PHX,9270.0
1,21,13.0,13,20.0,20,UA,N467UA,LAS,IAD,9486.0
1,24,8.0,8,8.0,8,OO,N564SW,PDX,RDM,4812.0
1,15,13.0,13,15.0,15,AA,N510AA,DFW,ORD,6961.0
1,15,10.0,10,16.0,16,UA,N522UA,LAS,ORD,6979.0
1,15,11.0,11,14.0,14,OO,N939SW,BUR,DEN,10262.0
1,27,14.0,14,15.0,15,OH,N960CA,GSO,CVG,12898.0
1,27,18.0,18,19.0,19,OO,N235SW,SFO,MFR,8016.0
1,9,10.0,10,12.0,11,DL,N918DL,ATL,DFW,14323.0
1,3,14.0,12,16.0,14,WN,N366,SEA,RNO,3597.0
1,1,6.0,6,8.0,8,AA,N497AA,TPA,DFW,6121.0
1,15,14.0,14,15.0,15,EV,N642AS,ATL,CSG,10919.0
1,27,10.0,10,11.0,11,NW,N9333,DTW,GSO,5894.0
1,18,20.0,20,22.0,23,US,N187UW,PHL,LAX,4174.0
1,6,17.0,17,18.0,18,HP,N336AW,LAS,SNA,12677.0
1,1,19.0,20,20.0,20,OO,N956SW,SAN,LAX,10651.0
1,24,9.0,9,11.0,11,WN,N384,STL,BHM,3873.0
1,24,15.0,15,17.0,17,XE,N18982,ATL,CLE,6147.0
1,12,6.0,6,8.0,8,CO,N14358,RDU,IAH,9899.0
1,24,7.0,7,9.0,9,XE,N12957,IAH,STL,3687.0
1,27,5.0,5,8.0,7,OH,N936CA,ROC,ATL,7165.0
1,1,8.0,8,10.0,10,EV,N849AS,JFK,ATL,22270.0
1,3,7.0,7,9.0,9,WN,N727,TPA,BWI,14924.0
1,3,14.0,14,21.0,21,HA,N593HA,HNL,LAX,3597.0
1,24,15.0,15,17.0,17,FL,N954AT,LGA,PHF,6147.0
1,6,13.0,13,14.0,14,HP,N669AW,SAN,LAS,3625.0
1,3,14.0,14,15.0,15,EV,N823AS,ATL,XNA,3597.0
